symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Jun-2027,23000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY29-06-2027PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,28-Dec-2027,23000,PE,358,0,0,48,0,0,0,300,315.05,0,0,OPTIDXNIFTY28-12-2027PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,27-Jun-2028,23000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY27-06-2028PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Dec-2028,23000,PE,643.65,0,0,43,0,0,0,300,350.05,0,0,OPTIDXNIFTY26-12-2028PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,26-Jun-2029,23000,PE,0,0,0,0,0,0,0,5400,2.05,0,0,OPTIDXNIFTY26-06-2029PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,24-Dec-2029,23000,PE,550,0,0,34,0,0,0,300,285.05,1100,75,OPTIDXNIFTY24-12-2029PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,25-Jun-2030,23000,PE,0,0,0,0,0,0,0,5400,3.05,0,0,OPTIDXNIFTY25-06-2030PE23000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23050,CE,3306.4,-12.25,-0.36912600003013274,1,0,0,0,1725,2826.1,3638.4,1725,OPTIDXNIFTY30-12-2025CE23050.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23050,PE,5.8,-0.75,-11.450381679389313,933,29,218,21.15,750,5.7,8.65,600,OPTIDXNIFTY30-12-2025PE23050.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23100,CE,3258.2,0,0,0,0,0,0,1725,2703.95,3588.7,1800,OPTIDXNIFTY30-12-2025CE23100.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23100,PE,7,-0.09999999999999964,-1.4084507042253471,1424,15,157,21.39,375,6.3,7,300,OPTIDXNIFTY30-12-2025PE23100.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23150,CE,3168.5,-53.25,-1.6528284317529292,148,0,2,0,75,3121.4,3429.1,1725,OPTIDXNIFTY30-12-2025CE23150.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23150,PE,7.25,0.15000000000000036,2.1126760563380333,883,0,55,21.19,600,6.2,8,750,OPTIDXNIFTY30-12-2025PE23150.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23200,CE,3169.8,-2.849999999999909,-0.08983026807242869,6,0,0,0,1725,2612.15,3474.3,1725,OPTIDXNIFTY30-12-2025CE23200.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23200,PE,6.25,-0.7999999999999998,-11.347517730496453,293,-54,263,20.47,375,6.25,6.9,375,OPTIDXNIFTY30-12-2025PE23200.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23250,CE,3110.45,0,0,0,0,0,0,1725,2623.4,3423.7,1725,OPTIDXNIFTY30-12-2025CE23250.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23250,PE,6.2,-0.6499999999999995,-9.489051094890504,119,0,38,20.15,750,5.9,6.9,600,OPTIDXNIFTY30-12-2025PE23250.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23300,CE,2987.8,-76,-2.4805796723023694,63,0,2,0,1725,2520.85,3270.35,1800,OPTIDXNIFTY30-12-2025CE23300.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23300,PE,7,-0.6500000000000004,-8.496732026143796,141,-35,177,20.18,750,6,7,975,OPTIDXNIFTY30-12-2025PE23300.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23350,CE,3010.6,-12.25,-0.40524670426915,0,0,0,0,1725,2534.95,3309.85,1725,OPTIDXNIFTY30-12-2025CE23350.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23350,PE,7.25,-0.15000000000000036,-2.0270270270270316,69,-3,3,19.97,750,5.8,9.35,75,OPTIDXNIFTY30-12-2025PE23350.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23400,CE,2964.7,-3.650000000000091,-0.12296393619351126,0,0,0,0,1725,2433.8,3259.65,1725,OPTIDXNIFTY30-12-2025CE23400.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,23400,PE,7.1,-0.6500000000000004,-8.387096774193553,289,8,97,19.61,750,6.85,8.25,300,OPTIDXNIFTY30-12-2025PE23400.00
